1339,3259
17,1778
16,16
14,14
514,1474
17,51
456,456
1426,3346
461,4448
509,1469
480,1516
538,2695
442,442
504,2452
16,1480
4109,11789
15,8924
13,8745
14,4631
1469,7540
528,7588
475,4703
1310,5684
4896,16045
17,15868
1627,18793
6221,36054
17,34631
17,34648
17,31785
13,30358
14,28932
14,27506
4186,38892
475,40106
16,34583
15,24518
16,23041
1267,20521
3494,27342
4954,38729
16,31865
13,23238
5875,39193
15,36328
16,33464
17,33481
3878,42159
461,40700
15,40253
15,37460
1224,33314
1354,37542
432,37454
451,33151
14,32757
1411,36016
16,34592
4109,42061
15,37597
13,33449
504,34549
542,34847
5357,48916
16,44668
16,44684
1541,48828
15,44800
15,43375
456,44791
15,39046
470,39036
16,34732
432,34684
6394,50678
5242,64599
13,62173
13,60746
514,62115
17,57917
5414,73891
504,73915
480,72475
533,73488
17,70351
13,69198
509,69227
3341,78906
13,76421
3302,84806
16,82139
1253,85312
509,86528
490,83911
17,81048
17,76745
14,70586
17,69576
17,59513
533,61589
437,61923
17,57167
13,55758
475,55779
14,50442
490,51892
437,52994
456,52305
1541,57686
480,49046
6394,67920
16,60736
1498,60794
494,59368
15,57943
16,57959
504,59003
1498,62361
15,59496
17,58073
4186,64868
17,62276
16,60852
16,60868
13,55121
1354,57519
16,52171
17,52034
4186,63574
4109,76323
13,72998
14,67710
3917,74987
14,74540
4109,83910
1325,86675
514,83829
427,79456
3494,88230
14,80616
16,72420
4416,86436
15,83120
16,79267
3456,86563
16,77939
523,77982
499,76561
1469,80910
4224,93774
15,89469
3686,99177
4378,110973
13,110783
466,103772
422,102274
15,102061
17,96351
494,96560
16,95136
15,93711
14,90845
16,72141
17,69278
16,67854
15,59229
16,56365
418,57743
490,57753
16,57696
14,53216
490,54559
13,50606
16,50575
16,46318
1339,50469
13,46230
13,43363
1570,47813
3917,56530
427,55037
15,53612
15,43229
14,37801
17,36291
17,27446
