1238,3158
15,235
437,3130
1354,7364
1310,4354
16,50
69,1559
1541,5980
184,3284
456,456
203,1300
1469,4349
173,1323
191,1833
202,4388
1469,4349
15,2924
437,5723
499,6768
15,35
1368,6203
1570,7293
16,4429
504,3013
1267,7640
189,3029
1613,4642
461,5734
16,1421
1469,5964
13,361
17,378
1440,7578
1570,11548
15,2923
64,4427
202,1528
1325,5954
53,247
15,15
17,17
1526,4406
1296,4363
1411,4301
1267,4321
1483,16204
13,1817
1526,16303
1382,6165
15,1860
1498,10125
14,2892
51,63
1541,10244
1296,5780
203,3103
1339,10202
16,4068
1354,14140
509,1515
499,1494
1426,7286
64,150
1397,5867
17,1564
55,4091
1440,21457
1469,17488
16,1505
1469,16093
17,1710
166,308
528,3960
1642,46235
13,219
1498,40597
1426,8626
13,3156
494,4610
1310,7360
504,3064
1512,53536
16,3152
67,1779
1642,50461
16,77
1296,3293
176,2884
1656,57925
59,1824
1526,56630
162,3032
542,5974
53,267
1339,14566
418,4424
1555,54939
167,1573
1296,6002
1627,65173
17,3326
157,7323
14,137
1411,42867
1541,50609
15,2691
1498,53562
1310,7352
16,168
1426,35957
184,3218
207,5448
1426,21651
13,3931
16,2525
1570,54930
480,7001
157,367
514,2986
538,4779
1339,4678
1368,11806
160,1886
1224,5990
1310,11620
14,2994
1512,76124
58,244
1541,66585
58,3283
191,4014
1426,34660
66,3046
1454,54900
1440,5669
16,1636
58,1694
62,3196
1541,72071
16,433
1656,67849
1512,8485
16,2983
1526,34903
1310,5973
14,1667
1325,10192
16,1107
1469,5917
1325,4288
62,1544
1382,10126
542,1548
1310,3338
1541,93679
1627,95198
1541,93515
15,1822
1598,86460
52,3981
1541,86280
1253,6764
1282,8988
1570,89758
193,1631
514,5985
1267,14342
1253,6105
1310,37655
1354,11649
176,305
16,93
451,4612
1598,111330
17,272
1382,58009
193,4442
1354,7042
1397,31935
1570,111003
1584,115467
1541,110769
69,1877
1469,108466
60,4366
66,2992
1253,16245
1325,17570
15,1745
1498,76683
13,1743
64,3320
1469,73909
1498,79247
13,7013
1526,83666
16,7362
68,7383
1627,72417
13,3310
432,21982
1440,73418
1584,74601
14,4380
198,6018
514,28738
533,14745
1454,47879
1238,12701
64,221
1555,37776
17,3146
1282,39007
1656,41944
1224,8435
1426,41941
1426,31732
1454,20012
1469,28913
1598,33488
